tm,stnId,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202604010700,90,25,1.5,-9,-9.0,-9,1012.6,1014.8,-9,-9.0,5.7,4.9,95.0,8.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,5,0,-9,-,-9,-9,-9,1001,0.0,0.10,-9,5.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202604010700,93,0,0.2,-9,-9.0,-9,1003.9,1015.7,-9,-9.0,5.3,4.8,97.0,8.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,6,10,ScCi,1,0,5,1800,0.0,0.03,-9,6.3,7.5,9.3,10.6,11.1,-9,-9.0,-9,3,2
202604010700,95,0,0.4,-9,-9.0,-9,996.0,1015.1,-9,-9.0,5.7,5.2,97.0,8.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,4,9,-,-9,-9,-9,1570,0.0,0.07,-9,7.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202604010700,98,34,0.8,-9,-9.0,-9,1000.1,1014.2,-9,-9.0,8.3,5.2,81.0,8.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,6,13,-,-9,-9,-9,2249,0.0,0.06,-9,8.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202604010700,99,0,0.4,-9,-9.0,-9,1010.8,1014.6,-9,-9.0,7.0,4.9,87.0,8.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,4,12,-,-9,-9,-9,1822,0.0,0.03,-9,8.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202604010700,100,36,0.5,-9,-9.0,-9,924.7,1017.6,-9,-9.0,-0.2,-0.3,99.0,6.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,26,0.0,0.05,-9,1.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202604010700,101,7,1.1,-9,-9.0,-9,1005.5,1014.8,-9,-9.0,5.8,4.9,94.0,8.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,5,10,-,-9,-9,-9,1545,0.0,0.04,-9,6.4,7.9,9.4,10.0,10.8,-9,-9.0,-9,3,-9
202604010700,102,27,1.0,-9,-9.0,-9,1008.5,1012.9,-9,-9.0,7.4,4.6,83.0,8.5,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,21,62,1901,10,3,8,ScAs,-9,2,5,704,0.0,0.00,-9,8.1,-99.0,-99.0,-99.0,-99.0,-9,0.5,-9,4,1
202604010700,104,16,1.3,-9,-9.0,-9,1004.6,1013.9,-9,-9.0,5.8,5.7,100.0,9.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,522,0.0,0.08,-9,5.4,7.8,8.9,10.3,10.6,-9,-9.0,-9,3,1
202604010700,105,20,0.8,-9,-9.0,-9,1011.9,1015.3,-9,-9.0,5.6,4.8,95.0,8.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,987,0.0,0.07,-9,5.1,7.3,7.8,8.3,9.5,-9,-9.0,-9,3,-9
202604010700,106,20,1.8,-9,-9.0,-9,1010.5,1015.5,-9,-9.0,7.0,6.2,95.0,9.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,5,5,5,-,-9,-9,-9,567,0.0,0.06,-9,6.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202604010700,108,5,2.6,-9,-9.0,-9,1003.6,1013.9,-9,-9.0,11.0,6.5,74.0,9.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,7,Sc,0,0,5,2721,0.0,0.03,-9,9.8,10.8,9.9,10.9,10.9,-9,-9.0,-9,3,2
202604010700,112,18,1.6,-9,-9.0,-9,1005.1,1013.5,-9,-9.0,9.1,6.8,86.0,9.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,22,19,8,1,13,ScCi,1,0,5,587,0.0,0.04,-9,9.2,11.3,10.5,11.1,11.0,-9,0.5,-9,3,1
202604010700,114,32,1.0,-9,-9.0,-9,996.5,1014.7,-9,-9.0,8.1,5.3,83.0,8.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,5,5,-,-9,-9,-9,2584,0.0,0.07,-9,8.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202604010700,115,0,0.0,-9,-9.0,-9,988.8,1015.5,-9,-9.0,8.2,5.3,82.0,8.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,4,40,AcCi,2,3,0,3571,0.0,0.05,-9,7.5,8.9,9.3,10.7,10.5,-9,1.5,-9,3,2
202604010700,119,0,0.2,-9,-9.0,-9,1009.0,1013.8,-9,-9.0,9.5,6.9,84.0,9.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,5,10,ScCi,1,0,5,2879,0.0,0.04,-9,8.7,10.5,10.8,11.2,11.0,-9,-9.0,-9,3,2
202604010700,121,0,0.0,-9,-9.0,-9,986.8,1016.1,-9,-9.0,6.0,5.4,96.0,9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,7,10,-,-9,-9,-9,988,0.0,0.04,-9,7.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202604010700,127,11,1.0,-9,-9.0,-9,1000.0,1013.9,-9,-9.0,9.8,7.0,83.0,10.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,7,8,-,-9,-9,-9,2543,0.0,0.00,-9,9.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202604010700,129,18,0.9,-9,-9.0,-9,1011.2,1014.3,-9,-9.0,8.0,7.6,98.0,10.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,3,52,-,-9,-9,-9,243,0.0,0.06,-9,10.2,12.8,11.6,11.8,11.6,-9,-9.0,-9,3,-9
