report_date,window_start,window_end,stnId,obs_count,mean_BF,mean_CA_MID,mean_CA_TOT,mean_CH_MIN,mean_CT_LOW,mean_CT_MID,mean_CT_TOP,mean_GST_TM,mean_GST_WD,mean_GST_WS,mean_HM,mean_IR,mean_IX,mean_PA,mean_PR,mean_PS,mean_PT,mean_PV,mean_RN,mean_RN_DAY,mean_RN_INT,mean_RN_JUN,mean_SD_DAY,mean_SD_HR3,mean_SD_TOT,mean_SI,mean_SS,mean_ST_GD,mean_ST_SEA,mean_TA,mean_TD,mean_TE_005,mean_TE_01,mean_TE_02,mean_TE_03,mean_TS,mean_VS,mean_WC,mean_WD,mean_WH,mean_WP,mean_WS,mean_WW,mean_tm
20260409,20260409 09:00,20260409 21:00,90,2,-9.000,3.500,9.000,-9.000,-9.000,-9.000,-9.000,419.500,5.500,1.000,57.000,2.000,-9.000,1003.000,-0.900,1005.100,7.500,7.250,-3.900,0.900,-9.000,0.900,-9.000,-9.000,-9.000,-3.860,-4.250,-9.000,-9.000,13.250,0.600,-99.000,-99.000,-99.000,-99.000,14.200,2816.000,-9.000,28.500,-9.000,-9.000,3.600,,202604091500.000
20260409,20260409 09:00,20260409 21:00,93,2,-9.000,6.000,10.000,6.500,6.000,2.000,-9.000,-9.000,-9.000,-9.000,84.500,2.000,1.500,995.250,-1.150,1006.850,7.000,9.400,-4.050,2.250,-9.000,2.250,-9.000,-9.000,-9.000,-4.305,-4.500,-9.000,-9.000,8.400,5.700,9.450,10.350,10.900,11.100,9.950,1250.000,26.000,9.000,-9.000,28.500,0.600,1901.000,202604091500.000
20260409,20260409 09:00,20260409 21:00,95,2,-9.000,8.500,10.000,6.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,87.500,2.000,-9.000,987.950,-0.850,1006.700,6.500,9.700,-3.600,0.150,-9.000,0.150,-9.000,-9.000,-9.000,-4.375,-4.500,-9.000,-9.000,8.300,6.150,-99.000,-99.000,-99.000,-99.000,9.550,1443.500,-9.000,17.000,-9.000,-9.000,0.850,,202604091500.000
20260409,20260409 09:00,20260409 21:00,98,2,-9.000,8.500,8.500,14.500,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,77.500,2.000,-3.500,991.700,-0.900,1005.550,6.500,9.500,-4.000,1.700,-9.000,1.700,-9.000,-9.000,-9.000,-4.360,-4.500,-9.000,-9.000,9.850,5.650,-99.000,-99.000,-99.000,-99.000,10.300,603.000,-9.000,0.000,-9.000,-9.000,0.400,,202604091500.000
20260409,20260409 09:00,20260409 21:00,99,2,-9.000,4.500,9.500,-4.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,81.500,1.000,-3.500,1002.050,-0.900,1005.800,6.500,9.400,0.800,6.750,-9.000,6.750,-9.000,-9.000,-9.000,-4.355,-4.500,-9.000,-9.000,8.850,5.600,-99.000,-99.000,-99.000,-99.000,10.700,1119.500,-9.000,9.000,-9.000,-9.000,2.300,,202604091500.000
20260409,20260409 09:00,20260409 21:00,100,2,-9.000,4.500,9.000,5.500,-9.000,-9.000,-9.000,225.000,9.000,2.000,75.500,2.000,-9.000,916.550,-1.450,1005.650,7.000,8.100,-4.400,1.200,-9.000,1.200,-9.000,-9.000,-9.000,-4.350,-4.500,-9.000,-9.000,8.050,3.350,-99.000,-99.000,-99.000,-99.000,6.250,2569.500,-9.000,13.500,-9.000,-9.000,3.400,,202604091500.000
20260409,20260409 09:00,20260409 21:00,101,2,-9.000,4.000,10.000,7.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,84.500,2.000,-9.000,996.600,-1.250,1005.800,7.000,9.400,-3.300,2.750,-9.000,2.750,-9.000,-9.000,-9.000,-4.320,-4.500,-9.000,-9.000,8.450,5.800,9.850,10.250,10.500,10.950,9.750,1347.500,-9.000,16.000,-9.000,-9.000,1.250,,202604091500.000
20260409,20260409 09:00,20260409 21:00,102,2,-9.000,8.000,10.000,4.000,5.000,2.000,-9.000,1135.000,12.500,11.000,89.000,1.000,1.000,997.800,-1.100,1002.150,5.000,9.950,0.100,3.300,-9.000,3.300,-9.000,-9.000,-9.000,-4.420,-4.500,-9.000,-9.000,8.600,6.800,-99.000,-99.000,-99.000,-99.000,9.150,874.500,60.000,10.000,1.000,63.000,3.700,95801.000,202604091500.000
20260409,20260409 09:00,20260409 21:00,104,2,-9.000,3.500,9.500,-4.000,3.500,1.000,-3.500,258.000,8.000,0.500,61.000,2.000,1.500,995.050,-0.900,1003.950,7.500,8.050,-4.300,0.300,-9.000,0.300,-9.000,-9.000,-9.000,-3.970,-4.300,-9.000,-9.000,13.150,2.200,11.450,11.550,11.900,11.900,12.400,2437.000,26.000,12.500,-9.000,28.500,2.650,1901.000,202604091500.000
20260409,20260409 09:00,20260409 21:00,105,2,-9.000,4.500,9.000,-4.000,-9.000,-9.000,-9.000,415.500,9.000,3.000,61.500,3.000,-9.000,1002.150,-0.800,1005.350,3.500,8.900,-9.000,-0.650,-9.000,-0.650,-9.000,-9.000,-9.000,-4.025,-4.400,-9.000,-9.000,13.550,4.350,10.650,10.850,11.100,11.650,11.650,2674.500,-9.000,12.500,-9.000,-9.000,3.150,,202604091500.000
20260409,20260409 09:00,20260409 21:00,106,2,-9.000,4.000,9.500,23.500,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,61.500,2.000,-9.000,1000.900,-0.600,1005.700,3.000,8.850,-4.450,-2.600,-9.000,-2.600,-9.000,-9.000,-9.000,-4.070,-4.450,-9.000,-9.000,13.750,3.750,-99.000,-99.000,-99.000,-99.000,13.350,2313.000,-9.000,20.000,-9.000,-9.000,0.650,,202604091500.000
20260409,20260409 09:00,20260409 21:00,108,2,-9.000,5.500,10.000,8.500,6.000,2.000,-9.000,767.500,-2.000,0.500,76.000,1.000,1.000,994.800,-0.950,1005.000,7.500,10.300,0.400,7.500,-9.000,7.500,-9.000,-9.000,-9.000,-4.350,-4.500,-9.000,-9.000,11.500,6.850,10.850,9.050,9.500,9.800,11.550,1230.000,60.500,6.000,-9.000,64.000,2.950,951.000,202604091500.000
20260409,20260409 09:00,20260409 21:00,112,2,2.000,6.500,10.000,3.500,6.000,2.000,-9.000,-9.000,-9.000,-9.000,81.000,1.000,1.000,996.150,-0.800,1004.350,6.500,11.500,0.350,6.650,-9.000,6.650,-9.000,-9.000,-9.000,-4.375,-4.500,-9.000,2.000,12.100,8.550,10.650,10.100,10.500,-44.150,10.950,1287.000,60.500,13.500,0.500,66.000,2.350,1.000,202604091500.000
20260409,20260409 09:00,20260409 21:00,114,2,-9.000,6.500,8.000,5.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,78.500,2.000,-9.000,987.900,-1.050,1005.900,6.500,9.850,-4.100,1.000,-9.000,1.000,-9.000,-9.000,-9.000,-4.355,-4.500,-9.000,-9.000,9.750,5.900,-99.000,-99.000,-99.000,-99.000,9.950,1992.500,-9.000,3.500,-9.000,-9.000,0.600,,202604091500.000
20260409,20260409 09:00,20260409 21:00,115,2,3.500,4.500,9.500,-4.000,3.500,1.000,-3.500,396.500,7.000,3.000,81.000,2.000,1.500,981.150,-1.050,1007.300,5.500,11.500,-1.800,11.400,-9.000,11.400,-9.000,-9.000,-9.000,-4.355,-4.500,-9.000,4.000,12.250,8.800,10.750,10.700,11.550,11.000,10.850,2498.500,27.000,26.000,2.250,27.500,5.400,1601.000,202604091500.000
20260409,20260409 09:00,20260409 21:00,119,2,-9.000,5.500,10.000,6.500,6.000,2.000,-9.000,-9.000,-9.000,-9.000,76.000,1.000,1.000,999.800,-1.200,1004.550,6.500,10.400,0.100,4.650,-9.000,4.650,-9.000,-9.000,-9.000,-4.410,-4.500,-9.000,-9.000,11.600,7.050,9.850,9.900,10.200,10.350,10.300,1324.000,60.500,8.000,-9.000,64.000,1.000,951.000,202604091500.000
20260409,20260409 09:00,20260409 21:00,121,2,-9.000,3.000,10.000,16.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,85.500,2.000,-9.000,978.400,-1.450,1007.300,7.000,9.050,-3.950,2.200,-9.000,2.200,-9.000,-9.000,-9.000,-4.330,-4.500,-9.000,-9.000,7.550,5.100,-99.000,-99.000,-99.000,-99.000,9.450,1467.500,-9.000,9.000,-9.000,-9.000,0.600,,202604091500.000
20260409,20260409 09:00,20260409 21:00,127,2,-9.000,9.000,9.500,12.500,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,78.500,2.000,-9.000,991.300,-1.200,1005.050,6.500,9.900,-3.850,0.450,-9.000,0.450,-9.000,-9.000,-9.000,-4.400,-4.500,-9.000,-9.000,10.100,6.250,-99.000,-99.000,-99.000,-99.000,10.550,1252.500,-9.000,10.000,-9.000,-9.000,0.350,,202604091500.000
20260409,20260409 09:00,20260409 21:00,129,2,-9.000,9.500,9.500,7.500,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,82.500,1.000,-9.000,1001.450,-0.600,1004.500,5.000,11.350,0.600,6.650,-9.000,6.650,-9.000,-9.000,-9.000,-4.435,-4.500,-9.000,-9.000,11.550,8.400,12.750,10.950,11.050,11.050,11.500,1015.500,-9.000,13.500,-9.000,-9.000,3.300,,202604091500.000
20260409,20260409 09:00,20260409 21:00,130,2,-9.000,5.000,10.000,23.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,70.000,2.000,-9.000,1000.400,-0.850,1006.250,3.500,10.350,-4.450,-2.550,-9.000,-2.550,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,13.050,6.750,-99.000,-99.000,-99.000,-99.000,12.200,2719.000,-9.000,21.500,-9.000,-9.000,1.550,,202604091500.000
20260409,20260409 09:00,20260409 21:00,131,2,-9.000,6.500,10.000,12.000,5.000,2.000,-9.000,-9.000,-9.000,-9.000,70.000,1.000,1.000,997.800,-1.050,1004.800,6.500,10.300,0.050,5.600,-9.000,5.600,-9.000,-9.000,-9.000,-4.340,-4.500,-9.000,-9.000,12.450,6.550,-99.000,-99.000,-99.000,-99.000,12.050,2149.000,40.500,17.000,-9.000,62.000,0.550,951.000,202604091500.000
20260409,20260409 09:00,20260409 21:00,133,2,-9.000,9.000,10.000,9.500,6.000,-3.500,-9.000,-9.000,-9.000,-9.000,74.000,2.000,1.000,997.150,-0.850,1005.250,5.500,10.150,-4.400,5.650,-9.000,5.650,-9.000,-9.000,-9.000,-4.370,-4.500,-9.000,-9.000,11.300,6.100,11.250,11.400,11.900,12.250,10.750,2212.000,31.500,21.500,-9.000,63.500,1.050,19160201.000,202604091500.000
20260409,20260409 09:00,20260409 21:00,135,2,-9.000,9.000,9.500,9.500,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,76.500,2.000,-9.000,976.950,-1.250,1005.950,6.500,10.350,-4.450,5.300,-9.000,5.300,-9.000,-9.000,-9.000,-4.355,-4.500,-9.000,-9.000,10.800,6.600,-99.000,-99.000,-99.000,-99.000,10.300,3044.000,-9.000,8.000,-9.000,-9.000,2.250,,202604091500.000
20260409,20260409 09:00,20260409 21:00,136,2,-9.000,7.000,10.000,7.000,6.000,2.000,-9.000,-9.000,-9.000,-9.000,75.500,2.000,1.500,990.750,-1.650,1007.650,7.000,9.650,-3.750,0.350,-9.000,0.350,-9.000,-9.000,-9.000,-4.315,-4.500,-9.000,-9.000,10.550,6.050,-99.000,-99.000,-99.000,-99.000,10.950,1577.500,26.000,0.000,-9.000,28.500,0.100,1901.000,202604091500.000
20260409,20260409 09:00,20260409 21:00,137,2,-9.000,7.500,9.500,2.500,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,77.500,2.000,-9.000,994.100,-1.400,1005.700,7.000,9.150,-4.200,4.600,-9.000,4.600,-9.000,-9.000,-9.000,-4.395,-4.500,-9.000,-9.000,9.350,5.150,-99.000,-99.000,-99.000,-99.000,10.050,1857.500,-9.000,17.000,-9.000,-9.000,0.450,,202604091500.000
20260409,20260409 09:00,20260409 21:00,138,2,2.000,4.500,10.000,11.500,6.000,2.000,-9.000,-9.000,-9.000,-9.000,72.500,2.000,1.500,1005.850,-1.700,1006.350,7.500,11.350,-4.300,-0.800,-9.000,-0.800,-9.000,-9.000,-9.000,-4.300,-4.500,-9.000,2.000,13.700,8.250,12.800,13.100,13.500,13.550,13.050,3013.500,25.500,28.500,0.500,26.500,2.350,1.000,202604091500.000
20260409,20260409 09:00,20260409 21:00,140,2,-9.000,7.500,10.000,7.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,86.000,1.000,-9.000,1002.250,-0.200,1005.600,4.500,12.500,1.350,12.850,-9.000,12.850,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,12.300,9.950,-99.000,-99.000,-99.000,-99.000,11.950,383.500,-9.000,24.000,-9.000,-9.000,3.000,,202604091500.000
20260409,20260409 09:00,20260409 21:00,143,2,-9.000,9.000,10.000,7.000,6.000,2.000,-9.000,-9.000,-9.000,-9.000,73.500,2.000,1.000,999.850,-1.400,1006.300,6.000,11.300,-4.400,2.800,-9.000,2.800,-9.000,-9.000,-9.000,-4.415,-4.500,-9.000,-9.000,13.000,8.000,-99.000,-99.000,-99.000,-99.000,12.050,4056.000,31.000,12.500,-9.000,62.000,1.450,1.000,202604091500.000
20260409,20260409 09:00,20260409 21:00,146,2,-9.000,7.000,10.000,9.500,5.000,2.000,-9.000,756.000,4.500,1.000,85.500,1.000,1.000,997.300,-0.800,1004.450,5.500,14.050,0.200,5.250,-9.000,5.250,-9.000,-9.000,-9.000,-4.420,-4.500,-9.000,-9.000,14.250,11.800,-99.000,-99.000,-99.000,-99.000,13.200,1599.000,60.000,15.500,-9.000,63.500,1.900,95101.000,202604091500.000
20260409,20260409 09:00,20260409 21:00,152,2,-9.000,9.000,10.000,3.000,6.000,2.000,-9.000,818.000,4.500,2.000,89.500,2.000,1.000,997.100,-1.650,1006.750,7.500,13.900,-3.500,8.150,-9.000,8.150,-9.000,-9.000,-9.000,-4.370,-4.500,-9.000,-9.000,13.650,11.800,-99.000,-99.000,-99.000,-99.000,13.100,1734.500,31.500,19.000,-9.000,63.000,1.800,191601.000,202604091500.000
20260409,20260409 09:00,20260409 21:00,155,2,1.500,7.000,10.000,3.000,5.000,2.000,-9.000,-9.000,-9.000,-9.000,96.000,1.000,1.000,1002.850,-1.850,1007.000,6.500,14.650,0.350,20.800,-9.000,20.800,-9.000,-9.000,-9.000,-4.400,-4.500,-9.000,2.000,13.250,12.550,-99.000,-99.000,-99.000,-99.000,13.350,2348.000,21.000,20.500,0.500,62.000,1.800,951.000,202604091500.000
20260409,20260409 09:00,20260409 21:00,156,2,-9.000,7.500,10.000,4.500,7.000,2.000,-9.000,746.000,2.500,2.500,93.500,1.000,1.000,995.750,-0.550,1004.050,5.000,15.350,0.550,15.950,-9.000,15.950,-9.000,-9.000,-9.000,-4.440,-4.500,-9.000,-9.000,14.350,13.250,-99.000,-99.000,-99.000,-99.000,13.950,1537.500,61.000,18.000,-9.000,64.000,3.750,951.000,202604091500.000
